KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
165522,16552,2,2,,
165523,16552,2,2,,
16553,1655,1,1,,
165531,16553,1,1,,
165532,16553,1,1,,
1656,165,1,1,,
16561,1656,1,1,,
165611,16561,1,1,,
165612,16561,1,1,,
165613,16561,1,1,,
16562,1656,1,1,,
165621,16562,1,1,,
166,16,1,1,,
1661,166,1,1,,
167,16,1,1,,
1671,167,1,1,,
16711,1671,1,1,,
167111,16711,1,1,,
1671111,167111,1,1,,
1671112,167111,1,1,,
1671113,167111,1,1,,
167112,16711,1,1,,
1671121,167112,1,1,,
1671122,167112,1,1,,
1671123,167112,1,1,,
16712,1671,1,1,,
167121,16712,1,1,,
167122,16712,1,1,,
16713,1671,1,1,,
167131,16713,1,1,,
16714,1671,1,1,,
167141,16714,1,1,,
1671411,167141,1,1,,
167142,16714,1,1,,
1671421,167142,1,1,,
1671422,167142,1,1,,
16715,1671,1,1,,
167151,16715,1,1,,
167152,16715,1,1,,
16716,1671,1,1,,
167161,16716,1,1,,
167162,16716,1,1,,
167163,16716,1,1,,
16717,1671,1,1,,
167171,16717,1,1,,
167172,16717,1,1,,
16718,1671,1,1,,
167181,16718,1,1,,
167182,16718,1,1,,
167183,16718,1,1,,
1672,167,1,1,,
168,16,1,1,,
169,16,1,1,,
16A,16,1,1,,
16A1,16A,1,1,,
16A11,16A1,1,1,,
16A111,16A11,1,1,,
16A1111,16A111,1,1,,
16A112,16A11,1,1,,
16A12,16A1,1,1,,
16A13,16A1,1,1,,
16A14,16A1,1,1,,
16A141,16A14,2,2,,
16A1411,16A141,1,1,,
16A142,16A14,2,2,,
16A1422,16A142,1,2,,
16A143,16A14,2,2,,
16A144,16A14,2,2,,
16A2,16A,1,1,,
16A21,16A2,1,1,,
16A211,16A21,1,1,,
16A22,16A2,1,1,,
16B,16,1,1,,
16B1,16B,1,1,,
16B11,16B1,1,1,,
16B111,16B11,1,1,,
16B112,16B11,2,2,,
16B113,16B11,2,2,,
16B12,16B1,1,1,,
16B121,16B12,1,1,,
16B122,16B12,1,1,,
16B13,16B1,1,1,,
16B131,16B13,1,1,,
16B132,16B13,1,1,,
16B2,16B,1,1,,
16B21,16B2,1,1,,
16B22,16B2,1,1,,
17,1,1,1,,
18,1,1,1,,
181,18,1,1,,
1811,181,1,1,,
18111,1811,1,1,,
18112,1811,1,1,,
1812,181,1,1,,
18121,1812,1,1,,
181211,18121,1,1,,
181212,18121,3,3,Case 1,212001
18122,1812,1,1,,
181221,18122,1,1,,
1813,181,1,1,,
18131,1813,1,1,,
181311,18131,2,1,,
181312,18131,1,2,,
182,18,1,1,,
1821,182,1,1,,
18211,1821,1,1,,
182111,18211,1,1,,
18212,1821,1,1,,
19,1,1,1,,
2,,1,1,,
21,2,1,1,,
211,21,1,1,,
212,21,1,1,,
2121,212,1,1,,
213,21,1,1,,
214,21,1,1,,
215,21,1,1,,
2151,215,1,1,,
2152,215,1,1,,
21521,2152,1,1,,
215211,21521,1,1,,
2153,215,1,1,,
21531,2153,1,1,,
215311,21531,1,1,,
216,21,1,1,,
2161,216,1,1,,
21611,2161,1,1,,
216111,21611,1,1,,
216112,21611,1,1,,
2161121,216112,1,1,,
2161122,216112,1,1,,
21612,2161,1,1,,
216121,21612,1,1,,
216122,21612,1,1,,
21613,2161,1,1,,
216131,21613,1,1,,
216132,21613,1,1,,
21614,2161,1,1,,
216141,21614,1,1,,
216142,21614,1,1,,
21615,2161,1,1,,
216151,21615,1,1,,
216152,21615,1,1,,
21616,2161,1,1,,
216161,21616,1,1,,
217,21,1,1,,
218,21,1,1,,
3,,2,2,,
31,3,1,1,,
311,31,1,1,,
3111,311,1,1,,
3112,311,2,2,,
312,31,1,1,,
313,31,1,1,,
3131,313,1,1,,
31311,3131,1,1,,
31312,3131,1,1,,
31313,3131,1,1,,
3132,313,1,1,,
3133,313,1,1,,
3134,313,2,2,,
3135,313,2,2,,
31351,3135,1,1,,
31352,3135,1,1,,
31353,3135,1,1,,
32,3,2,2,,
321,32,1,1,,
3211,321,1,1,,
3212,321,1,1,,
32121,3212,1,1,,
321211,32121,1,1,,
321212,32121,1,1,,
321213,32121,1,1,,
3212131,321213,1,1,,
321214,32121,1,1,,
3212141,321214,1,1,,
3213,321,1,1,,
32131,3213,1,1,,
321311,32131,1,1,,
32132,3213,1,1,,
321321,32132,1,1,,
321322,32132,1,1,,
3214,321,1,1,,
32141,3214,1,1,,
321411,32141,1,1,,
322,32,1,1,,
3221,322,2,2,,
323,32,1,1,,
3231,323,1,1,,
3232,323,1,1,,
32321,3232,1,1,,
323211,32321,1,1,,
3232111,323211,1,1,,
3232112,323211,1,1,,
323212,32321,1,1,,
3232121,323212,1,1,,
3232122,323212,1,1,,
3232123,323212,1,1,,
32322,3232,1,1,,
323221,32322,1,1,,
323222,32322,1,1,,
323223,32322,1,1,,
32323,3232,1,1,,
323231,32323,2,2,,
323232,32323,2,2,,
323233,32323,2,2,,
3233,323,1,1,,
32331,3233,1,1,,
323311,32331,1,1,,
323312,32331,2,2,,
32332,3233,1,1,,
32333,3233,1,1,,
323331,32333,1,1,,
323332,32333,1,1,,
324,32,1,1,,
3241,324,1,1,,
325,32,1,1,,
3251,325,1,1,,
32511,3251,1,1,,
32512,3251,2,2,,
325121,32512,1,1,,
325122,32512,1,1,,
32513,3251,2,2,,
325131,32513,1,1,,
3252,325,1,1,,
32521,3252,1,1,,
325211,32521,1,1,,
325212,32521,1,1,,
32522,3252,1,1,,
325221,32522,1,1,,
3252211,325221,1,1,,
325222,32522,1,1,,
3252221,325222,1,1,,
32523,3252,1,1,,
3253,325,1,1,,
32531,3253,1,1,,
325311,32531,1,1,,
325312,32531,1,1,,
32532,3253,1,1,,
325321,32532,1,1,,
325322,32532,1,1,,
3254,325,1,1,,
32541,3254,1,1,,
325411,32541,1,1,,
3254111,325411,1,1,,
326,32,1,1,,
3261,326,1,1,,
3262,326,1,1,,
3263,326,1,1,,
3264,326,1,1,,
32641,3264,1,1,,
326411,32641,1,1,,
326412,32641,1,1,,
32642,3264,1,1,,
326421,32642,1,1,,
326422,32642,1,1,,
32643,3264,1,1,,
326431,32643,1,1,,
326432,32643,1,1,,
327,32,1,1,,
328,32,1,1,,
3281,328,1,1,,
329,32,1,1,,
32A,32,1,1,,
32A1,32A,1,1,,
32A11,32A1,1,1,,
32A111,32A11,1,1,,
32A112,32A11,1,1,,
32A2,32A,1,1,,
33,3,2,2,,
331,33,1,1,,
3311,331,1,1,,
3312,331,1,1,,
3313,331,1,1,,
3314,331,1,1,,
3315,331,1,1,,
3316,331,1,1,,
33161,3316,1,1,,
33162,3316,1,1,,
331621,33162,1,1,,
331622,33162,1,1,,
331623,33162,1,1,,
331624,33162,1,1,,
3316241,331624,1,1,,
3316242,331624,1,1,,
33163,3316,1,1,,
331631,33163,1,1,,
3316311,331631,1,1,,
3316312,331631,1,1,,
331632,33163,1,1,,
3316321,331632,1,1,,
3316322,331632,1,1,,
3317,331,1,1,,
3318,331,1,1,,
3319,331,1,1,,
33191,3319,2,2,,
331A,331,1,1,,
331B,331,1,1,,
332,33,1,1,,
3321,332,1,1,,
33211,3321,1,1,,
33212,3321,1,1,,
3322,332,1,1,,
33221,3322,1,1,,
33222,3322,1,1,,
333,33,1,1,,
3331,333,1,1,,
33311,3331,1,1,,
333111,33311,1,1,,
3331111,333111,1,1,,
333112,33311,1,1,,
3331121,333112,1,1,,
333113,33311,1,1,,
3331131,333113,1,1,,
3331132,333113,1,1,,
3331133,333113,1,1,,
33312,3331,1,1,,
333121,33312,1,1,,
3331211,333121,1,1,,
3331212,333121,1,1,,
3331213,333121,1,1,,
333122,33312,1,1,,
3331221,333122,1,1,,
3331222,333122,1,1,,
333123,33312,1,1,,
3331231,333123,1,1,,
3331232,333123,1,1,,
33313,3331,1,1,,
333131,33313,1,1,,
333132,33313,1,1,,
3331321,333132,1,1,,
3331322,333132,1,1,,
333133,33313,1,1,,
3331331,333133,0,1,,
333134,33313,1,1,,
3331341,333134,1,1,,
3331342,333134,1,1,,
333135,33313,2,2,,
3332,333,1,1,,
33321,3332,2,2,,
3333,333,1,1,,
33331,3333,1,1,,
333311,33331,1,1,,
333312,33331,1,1,,
333313,33331,1,1,,
3334,333,1,1,,
33341,3334,1,1,Case 3,0
333411,33341,1,1,,
33342,3334,2,2,,
334,33,1,1,,
335,33,1,1,,
336,33,1,1,,
34,3,2,2,,
341,34,1,1,,
3411,341,1,1,,
34111,3411,1,1,,
341111,34111,1,1,,
