KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
"161A51","161A5","1","1","",""
"161A511","161A51","","1","",""
"161A52","161A5","","2","",""
"161A53","161A5","","2","",""
"162","16","1","1","",""
"1621","162","1","1","",""
"16211","1621","1","1","",""
"16212","1621","1","1","",""
"162121","16212","1","1","",""
"1621211","162121","","1","",""
"1621212","162121","","1","",""
"162122","16212","1","1","",""
"162123","16212","","1","",""
"1622","162","1","1","",""
"16221","1622","1","1","",""
"16222","1622","1","1","",""
"162221","16222","1","1","",""
"1622211","162221","","1","",""
"1622212","162221","","1","",""
"162222","16222","1","1","",""
"1622221","162222","","1","",""
"16223","1622","1","1","",""
"162231","16223","1","1","",""
"1622311","162231","","1","",""
"162232","16223","","1","",""
"16224","1622","1","1","",""
"1623","162","2","1","",""
"16231","1623","","1","",""
"163","16","1","1","",""
"1631","163","1","1","",""
"16311","1631","1","1","",""
"163111","16311","","1","",""
"163112","16311","","1","",""
"16312","1631","1","1","",""
"163121","16312","","1","",""
"163122","16312","","1","",""
"16313","1631","2","1","",""
"163131","16313","","2","",""
"163132","16313","","2","",""
"16314","1631","2","1","",""
"163141","16314","","1","",""
"163142","16314","","1","",""
"16315","1631","1","1","",""
"163151","16315","","1","",""
"1632","163","","1","",""
"1633","163","1","1","",""
"16331","1633","1","1","",""
"163311","16331","","1","",""
"163312","16331","","1","",""
"163313","16331","","1","",""
"16332","1633","1","1","",""
"163321","16332","","1","",""
"163322","16332","","1","",""
"163323","16332","","1","",""
"164","16","1","1","",""
"1641","164","2","1","",""
"16411","1641","2","1","",""
"164111","16411","2","1","",""
"1641111","164111","1","1","",""
"16411111","1641111","","1","",""
"16411112","1641111","","1","",""
"1641112","164111","","2","",""
"164112","16411","1","1","",""
"1642","164","1","1","",""
"16421","1642","","1","",""
"16422","1642","","1","",""
"16423","1642","1","1","",""
"164231","16423","","1","",""
"164232","16423","","1","",""
"1643","164","1","1","",""
"16431","1643","1","1","",""
"164311","16431","1","1","",""
"1643111","164311","","1","",""
"1643112","164311","","1","",""
"164312","16431","1","1","",""
"1643121","164312","","1","",""
"164313","16431","1","1","",""
"16432","1643","","1","",""
"165","16","1","1","",""
"1651","165","1","1","",""
"16511","1651","1","1","",""
"165111","16511","1","1","",""
"1651111","165111","","1","",""
"1651112","165111","","1","",""
"165112","16511","1","1","",""
"1651121","165112","","1","",""
"1651122","165112","","1","",""
"16512","1651","1","1","",""
"165121","16512","1","1","",""
"165122","16512","1","1","",""
"1651221","165122","","1","",""
"1651222","165122","","1","",""
"165123","16512","1","1","",""
"1651231","165123","","1","",""
"1651232","165123","","1","",""
"1651233","165123","","1","",""
"165124","16512","","1","",""
"1652","165","1","1","",""
"16521","1652","2","1","",""
"16522","1652","1","1","",""
"16523","1652","","1","",""
"16524","1652","1","1","",""
"165241","16524","","1","",""
"165242","16524","","1","",""
"1653","165","","1","",""
"1654","165","2","1","",""
"16541","1654","2","1","A1","February 11, 1957"
"165411","16541","","1","",""
"1655","165","2","1","",""
"16551","1655","1","1","",""
"165511","16551","","1","",""
"16552","1655","2","1","",""
"165521","16552","1","1","",""
"1655211","165521","","1","",""
"1655212","165521","","2","",""
"1655213","165521","","2","",""
"165522","16552","1","2","",""
"1655221","165522","","1","",""
"165523","16552","1","2","",""
"16553","1655","1","1","",""
"165531","16553","","1","",""
